species_a,species_b,class_a,class_b,order_a,order_b,family_a,family_b,genus_a,genus_b,pair_class,relation,divergence_mya,divergence_years,divergence_source,timetree_study_count,timetree_ci_low,timetree_ci_high,timetree_name_a,timetree_name_b,n_calls_a,n_calls_b,n_pairs,alignment_r,alignment_fisher_z,log10_divergence_mya
African grey parrot (Psittacus erithacus),De Brazza’s monkey (Cercopithecus neglectus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus neglectus,5,7,35,0.18713135442388373,0.18936276019781298,2.503722606486479
African grey parrot (Psittacus erithacus),Diana monkey (Cercopithecus diana),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus diana,5,6,30,0.15560003898762373,0.1568743662639459,2.503722606486479
African grey parrot (Psittacus erithacus),Drill (Mandrillus leucophaeus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Mandrillus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Mandrillus leucophaeus,5,7,35,0.4714346337584603,0.5119133324727404,2.503722606486479
African grey parrot (Psittacus erithacus),Eastern Gorilla (Gorilla beringei),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hominidae,Psittacus,Gorilla,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Gorilla beringei,5,3,15,0.35316635667509666,0.3690567165813577,2.503722606486479
African grey parrot (Psittacus erithacus),Egyptian fruit bat (Rousettus aegyptiacus),Aves,Mammalia,Psittaciformes,Chiroptera,Psittacidae,Pteropodidae,Psittacus,Rousettus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Rousettus aegyptiacus,Psittacus erithacus,5,5,25,0.28976695918407047,0.2983118432793932,2.503722606486479
African grey parrot (Psittacus erithacus),European starling (Sturnus vulgaris),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Sturnidae,Psittacus,Sturnus,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Sturnus vulgaris,Psittacus erithacus,5,6,30,0.4096754674337977,0.4352211755339097,1.8313213152131547
African grey parrot (Psittacus erithacus),Gelada (Theropithecus gelada),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Theropithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Theropithecus gelada,5,8,40,0.2940623166243494,0.30300733280515246,2.503722606486479
African grey parrot (Psittacus erithacus),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hylobatidae,Psittacus,,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Hylobates,5,4,20,0.2822318123414913,0.29010539174489974,2.503722606486479
African grey parrot (Psittacus erithacus),Gray wolf (Canis lupus),Aves,Mammalia,Psittaciformes,Carnivora,Psittacidae,Canidae,Psittacus,Canis,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Canis lupus,Psittacus erithacus,5,5,25,0.15326842877087948,0.15448578741479158,2.503722606486479
African grey parrot (Psittacus erithacus),Greater sac-winged bat (Saccopteryx bilineata),Aves,Mammalia,Psittaciformes,Chiroptera,Psittacidae,Emballonuridae,Psittacus,Saccopteryx,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Saccopteryx bilineata,Psittacus erithacus,5,5,25,0.5357425349699605,0.5981649996643957,2.503722606486479
