species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Carolina chickadee (Poecile carolinensis),Chimpanzee (Pan troglodytes),48892,9598,Poecile carolinensis,Pan troglodytes,Poecile carolinensis,Pan troglodytes,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Bonobo (Pan paniscus),48892,9597,Poecile carolinensis,Pan paniscus,Poecile carolinensis,Pan paniscus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Western Gorilla (Gorilla gorilla),48892,9593,Poecile carolinensis,Gorilla gorilla,Poecile carolinensis,Gorilla gorilla,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Eastern Gorilla (Gorilla beringei),48892,499232,Poecile carolinensis,Gorilla beringei,Poecile carolinensis,Gorilla beringei,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Bornean Orangutan (Pongo pygmaeus),48892,9600,Poecile carolinensis,Pongo pygmaeus,Poecile carolinensis,Pongo pygmaeus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Siamang (Symphalangus syndactylus),48892,9590,Poecile carolinensis,Symphalangus syndactylus,Poecile carolinensis,Symphalangus syndactylus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",48892,9578,Poecile carolinensis,Hylobates,Poecile carolinensis,Hylobates,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Brown lemurs (Eulemur spp.),48892,13513,Poecile carolinensis,Eulemur,Poecile carolinensis,Eulemur,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Indri (Indri indri),48892,34827,Poecile carolinensis,Indri indri,Poecile carolinensis,Indri indri,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Rhesus macaque (Macaca mulatta),48892,9544,Poecile carolinensis,Macaca mulatta,Poecile carolinensis,Macaca mulatta,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Japanese macaque (Macaca fuscata),48892,9542,Poecile carolinensis,Macaca fuscata,Poecile carolinensis,Macaca fuscata,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Vervet monkey (Chlorocebus pygerythrus),48892,60710,Poecile carolinensis,Chlorocebus pygerythrus,Poecile carolinensis,Chlorocebus pygerythrus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Campbell's monkey (Cercopithecus campbelli),48892,303588,Poecile carolinensis,Cercopithecus campbelli,Poecile carolinensis,Cercopithecus campbelli,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Olive baboon (Papio anubis),48892,9555,Poecile carolinensis,Papio anubis,Poecile carolinensis,Papio anubis,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Yellow baboon (Papio cynocephalus),48892,9556,Poecile carolinensis,Papio cynocephalus,Poecile carolinensis,Papio cynocephalus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Ring-tailed lemur (Lemur catta),48892,9447,Poecile carolinensis,Lemur catta,Poecile carolinensis,Lemur catta,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Mouse lemurs (Microcebus spp.),48892,13149,Poecile carolinensis,Microcebus,Poecile carolinensis,Microcebus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Tufted capuchin (Sapajus apella),48892,9515,Poecile carolinensis,Sapajus apella,Poecile carolinensis,Sapajus apella,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
