species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Green tree frog (Hyla cinerea),Eastern Gorilla (Gorilla beringei),8422,499232,Hyla cinerea,Gorilla beringei,Dryophytes cinereus,Gorilla beringei,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Bornean Orangutan (Pongo pygmaeus),8422,9600,Hyla cinerea,Pongo pygmaeus,Dryophytes cinereus,Pongo pygmaeus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Siamang (Symphalangus syndactylus),8422,9590,Hyla cinerea,Symphalangus syndactylus,Dryophytes cinereus,Symphalangus syndactylus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",8422,9578,Hyla cinerea,Hylobates,Dryophytes cinereus,Hylobates,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Brown lemurs (Eulemur spp.),8422,13513,Hyla cinerea,Eulemur,Dryophytes cinereus,Eulemur,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Indri (Indri indri),8422,34827,Hyla cinerea,Indri indri,Dryophytes cinereus,Indri indri,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Rhesus macaque (Macaca mulatta),8422,9544,Hyla cinerea,Macaca mulatta,Dryophytes cinereus,Macaca mulatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Japanese macaque (Macaca fuscata),8422,9542,Hyla cinerea,Macaca fuscata,Dryophytes cinereus,Macaca fuscata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Vervet monkey (Chlorocebus pygerythrus),8422,60710,Hyla cinerea,Chlorocebus pygerythrus,Dryophytes cinereus,Chlorocebus pygerythrus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Campbell's monkey (Cercopithecus campbelli),8422,303588,Hyla cinerea,Cercopithecus campbelli,Dryophytes cinereus,Cercopithecus campbelli,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Olive baboon (Papio anubis),8422,9555,Hyla cinerea,Papio anubis,Dryophytes cinereus,Papio anubis,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Yellow baboon (Papio cynocephalus),8422,9556,Hyla cinerea,Papio cynocephalus,Dryophytes cinereus,Papio cynocephalus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Ring-tailed lemur (Lemur catta),8422,9447,Hyla cinerea,Lemur catta,Dryophytes cinereus,Lemur catta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Mouse lemurs (Microcebus spp.),8422,13149,Hyla cinerea,Microcebus,Dryophytes cinereus,Microcebus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Tufted capuchin (Sapajus apella),8422,9515,Hyla cinerea,Sapajus apella,Dryophytes cinereus,Sapajus apella,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Common marmoset (Callithrix jacchus),8422,9483,Hyla cinerea,Callithrix jacchus,Dryophytes cinereus,Callithrix jacchus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Howler monkey (Alouatta spp.),8422,9499,Hyla cinerea,Alouatta,Dryophytes cinereus,Alouatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Diana monkey (Cercopithecus diana),8422,36224,Hyla cinerea,Cercopithecus diana,Dryophytes cinereus,Cercopithecus diana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Putty-nosed monkey (Cercopithecus nictitans),8422,36228,Hyla cinerea,Cercopithecus nictitans,Dryophytes cinereus,Cercopithecus nictitans,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Red-tailed monkey (Cercopithecus ascanius),8422,36223,Hyla cinerea,Cercopithecus ascanius,Dryophytes cinereus,Cercopithecus ascanius,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),De Brazza’s monkey (Cercopithecus neglectus),8422,36227,Hyla cinerea,Cercopithecus neglectus,Dryophytes cinereus,Cercopithecus neglectus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),L’Hoest’s monkey (Allochrocebus lhoesti),8422,100224,Hyla cinerea,Allochrocebus lhoesti,Dryophytes cinereus,Allochrocebus lhoesti,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Patas monkey (Erythrocebus patas),8422,9538,Hyla cinerea,Erythrocebus patas,Dryophytes cinereus,Erythrocebus patas,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Talapoin monkey (Miopithecus talapoin),8422,36231,Hyla cinerea,Miopithecus talapoin,Dryophytes cinereus,Miopithecus talapoin,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Gelada (Theropithecus gelada),8422,9565,Hyla cinerea,Theropithecus gelada,Dryophytes cinereus,Theropithecus gelada,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Crowned monkey / Crowned guenon (Cercopithecus pogonias),8422,102108,Hyla cinerea,Cercopithecus pogonias,Dryophytes cinereus,Cercopithecus pogonias,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Mona monkey (Cercopithecus mona),8422,36226,Hyla cinerea,Cercopithecus mona,Dryophytes cinereus,Cercopithecus mona,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Chacma baboon (Papio ursinus),8422,36229,Hyla cinerea,Papio ursinus,Dryophytes cinereus,Papio ursinus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Green tree frog (Hyla cinerea),Zebra finch (Taeniopygia guttata),8422,59729,Hyla cinerea,Taeniopygia guttata,Dryophytes cinereus,Taeniopygia guttata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),American bullfrog (Lithobates catesbeianus),76066,8400,Engystomops pustulosus,Lithobates catesbeianus,Engystomops pustulosus,Aquarana catesbeiana,150.01515,134.147,160.0088,26.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),African savanna elephant (Loxodonta africana),76066,9785,Engystomops pustulosus,Loxodonta africana,Engystomops pustulosus,Loxodonta africana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Gray wolf (Canis lupus),76066,9612,Engystomops pustulosus,Canis lupus,Engystomops pustulosus,Canis lupus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Egyptian fruit bat (Rousettus aegyptiacus),76066,9407,Engystomops pustulosus,Rousettus aegyptiacus,Engystomops pustulosus,Rousettus aegyptiacus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Greater sac-winged bat (Saccopteryx bilineata),76066,59482,Engystomops pustulosus,Saccopteryx bilineata,Engystomops pustulosus,Saccopteryx bilineata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Bengalese finch (Lonchura striata domestica),76066,299123,Engystomops pustulosus,Lonchura striata domestica,Engystomops pustulosus,Lonchura striata domestica,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Japanese tit (Parus minor),76066,213890,Engystomops pustulosus,Parus minor,Engystomops pustulosus,Parus minor,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Plain-tailed wren (Pheugopedius euophrys),76066,2724890,Engystomops pustulosus,Pheugopedius euophrys,Engystomops pustulosus,Pheugopedius euophrys,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),White-browed sparrow-weaver (Plocepasser mahali),76066,99181,Engystomops pustulosus,Plocepasser mahali,Engystomops pustulosus,Plocepasser mahali,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Chestnut-crowned babbler (Pomatostomus ruficeps),76066,9176,Engystomops pustulosus,Pomatostomus ruficeps,Engystomops pustulosus,Pomatostomus ruficeps,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),European starling (Sturnus vulgaris),76066,9172,Engystomops pustulosus,Sturnus vulgaris,Engystomops pustulosus,Sturnus vulgaris,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),African grey parrot (Psittacus erithacus),76066,57247,Engystomops pustulosus,Psittacus erithacus,Engystomops pustulosus,Psittacus erithacus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Mandrill (Mandrillus sphinx),76066,9561,Engystomops pustulosus,Mandrillus sphinx,Engystomops pustulosus,Mandrillus sphinx,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Drill (Mandrillus leucophaeus),76066,9568,Engystomops pustulosus,Mandrillus leucophaeus,Engystomops pustulosus,Mandrillus leucophaeus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Red colobus (Piliocolobus spp.),76066,591932,Engystomops pustulosus,Piliocolobus,Engystomops pustulosus,Piliocolobus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Black-and-white colobus (Colobus guereza),76066,33548,Engystomops pustulosus,Colobus guereza,Engystomops pustulosus,Colobus guereza,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Langurs (Semnopithecus spp. / Trachypithecus spp.),76066,88028,Engystomops pustulosus,Semnopithecus,Engystomops pustulosus,Semnopithecus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Chimpanzee (Pan troglodytes),76066,9598,Engystomops pustulosus,Pan troglodytes,Engystomops pustulosus,Pan troglodytes,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Bonobo (Pan paniscus),76066,9597,Engystomops pustulosus,Pan paniscus,Engystomops pustulosus,Pan paniscus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Western Gorilla (Gorilla gorilla),76066,9593,Engystomops pustulosus,Gorilla gorilla,Engystomops pustulosus,Gorilla gorilla,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Eastern Gorilla (Gorilla beringei),76066,499232,Engystomops pustulosus,Gorilla beringei,Engystomops pustulosus,Gorilla beringei,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Bornean Orangutan (Pongo pygmaeus),76066,9600,Engystomops pustulosus,Pongo pygmaeus,Engystomops pustulosus,Pongo pygmaeus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Siamang (Symphalangus syndactylus),76066,9590,Engystomops pustulosus,Symphalangus syndactylus,Engystomops pustulosus,Symphalangus syndactylus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",76066,9578,Engystomops pustulosus,Hylobates,Engystomops pustulosus,Hylobates,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Brown lemurs (Eulemur spp.),76066,13513,Engystomops pustulosus,Eulemur,Engystomops pustulosus,Eulemur,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Indri (Indri indri),76066,34827,Engystomops pustulosus,Indri indri,Engystomops pustulosus,Indri indri,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Rhesus macaque (Macaca mulatta),76066,9544,Engystomops pustulosus,Macaca mulatta,Engystomops pustulosus,Macaca mulatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Japanese macaque (Macaca fuscata),76066,9542,Engystomops pustulosus,Macaca fuscata,Engystomops pustulosus,Macaca fuscata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Vervet monkey (Chlorocebus pygerythrus),76066,60710,Engystomops pustulosus,Chlorocebus pygerythrus,Engystomops pustulosus,Chlorocebus pygerythrus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Campbell's monkey (Cercopithecus campbelli),76066,303588,Engystomops pustulosus,Cercopithecus campbelli,Engystomops pustulosus,Cercopithecus campbelli,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Olive baboon (Papio anubis),76066,9555,Engystomops pustulosus,Papio anubis,Engystomops pustulosus,Papio anubis,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Yellow baboon (Papio cynocephalus),76066,9556,Engystomops pustulosus,Papio cynocephalus,Engystomops pustulosus,Papio cynocephalus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Ring-tailed lemur (Lemur catta),76066,9447,Engystomops pustulosus,Lemur catta,Engystomops pustulosus,Lemur catta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Mouse lemurs (Microcebus spp.),76066,13149,Engystomops pustulosus,Microcebus,Engystomops pustulosus,Microcebus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Tufted capuchin (Sapajus apella),76066,9515,Engystomops pustulosus,Sapajus apella,Engystomops pustulosus,Sapajus apella,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Common marmoset (Callithrix jacchus),76066,9483,Engystomops pustulosus,Callithrix jacchus,Engystomops pustulosus,Callithrix jacchus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Howler monkey (Alouatta spp.),76066,9499,Engystomops pustulosus,Alouatta,Engystomops pustulosus,Alouatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Diana monkey (Cercopithecus diana),76066,36224,Engystomops pustulosus,Cercopithecus diana,Engystomops pustulosus,Cercopithecus diana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Putty-nosed monkey (Cercopithecus nictitans),76066,36228,Engystomops pustulosus,Cercopithecus nictitans,Engystomops pustulosus,Cercopithecus nictitans,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Red-tailed monkey (Cercopithecus ascanius),76066,36223,Engystomops pustulosus,Cercopithecus ascanius,Engystomops pustulosus,Cercopithecus ascanius,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),De Brazza’s monkey (Cercopithecus neglectus),76066,36227,Engystomops pustulosus,Cercopithecus neglectus,Engystomops pustulosus,Cercopithecus neglectus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),L’Hoest’s monkey (Allochrocebus lhoesti),76066,100224,Engystomops pustulosus,Allochrocebus lhoesti,Engystomops pustulosus,Allochrocebus lhoesti,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Patas monkey (Erythrocebus patas),76066,9538,Engystomops pustulosus,Erythrocebus patas,Engystomops pustulosus,Erythrocebus patas,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Talapoin monkey (Miopithecus talapoin),76066,36231,Engystomops pustulosus,Miopithecus talapoin,Engystomops pustulosus,Miopithecus talapoin,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Gelada (Theropithecus gelada),76066,9565,Engystomops pustulosus,Theropithecus gelada,Engystomops pustulosus,Theropithecus gelada,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Crowned monkey / Crowned guenon (Cercopithecus pogonias),76066,102108,Engystomops pustulosus,Cercopithecus pogonias,Engystomops pustulosus,Cercopithecus pogonias,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Mona monkey (Cercopithecus mona),76066,36226,Engystomops pustulosus,Cercopithecus mona,Engystomops pustulosus,Cercopithecus mona,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Chacma baboon (Papio ursinus),76066,36229,Engystomops pustulosus,Papio ursinus,Engystomops pustulosus,Papio ursinus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Túngara frog (Engystomops pustulosus),Zebra finch (Taeniopygia guttata),76066,59729,Engystomops pustulosus,Taeniopygia guttata,Engystomops pustulosus,Taeniopygia guttata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),African savanna elephant (Loxodonta africana),8400,9785,Lithobates catesbeianus,Loxodonta africana,Aquarana catesbeiana,Loxodonta africana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Gray wolf (Canis lupus),8400,9612,Lithobates catesbeianus,Canis lupus,Aquarana catesbeiana,Canis lupus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Egyptian fruit bat (Rousettus aegyptiacus),8400,9407,Lithobates catesbeianus,Rousettus aegyptiacus,Aquarana catesbeiana,Rousettus aegyptiacus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Greater sac-winged bat (Saccopteryx bilineata),8400,59482,Lithobates catesbeianus,Saccopteryx bilineata,Aquarana catesbeiana,Saccopteryx bilineata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Bengalese finch (Lonchura striata domestica),8400,299123,Lithobates catesbeianus,Lonchura striata domestica,Aquarana catesbeiana,Lonchura striata domestica,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Japanese tit (Parus minor),8400,213890,Lithobates catesbeianus,Parus minor,Aquarana catesbeiana,Parus minor,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Plain-tailed wren (Pheugopedius euophrys),8400,2724890,Lithobates catesbeianus,Pheugopedius euophrys,Aquarana catesbeiana,Pheugopedius euophrys,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),White-browed sparrow-weaver (Plocepasser mahali),8400,99181,Lithobates catesbeianus,Plocepasser mahali,Aquarana catesbeiana,Plocepasser mahali,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Chestnut-crowned babbler (Pomatostomus ruficeps),8400,9176,Lithobates catesbeianus,Pomatostomus ruficeps,Aquarana catesbeiana,Pomatostomus ruficeps,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),European starling (Sturnus vulgaris),8400,9172,Lithobates catesbeianus,Sturnus vulgaris,Aquarana catesbeiana,Sturnus vulgaris,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),African grey parrot (Psittacus erithacus),8400,57247,Lithobates catesbeianus,Psittacus erithacus,Aquarana catesbeiana,Psittacus erithacus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Mandrill (Mandrillus sphinx),8400,9561,Lithobates catesbeianus,Mandrillus sphinx,Aquarana catesbeiana,Mandrillus sphinx,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Drill (Mandrillus leucophaeus),8400,9568,Lithobates catesbeianus,Mandrillus leucophaeus,Aquarana catesbeiana,Mandrillus leucophaeus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Red colobus (Piliocolobus spp.),8400,591932,Lithobates catesbeianus,Piliocolobus,Aquarana catesbeiana,Piliocolobus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Black-and-white colobus (Colobus guereza),8400,33548,Lithobates catesbeianus,Colobus guereza,Aquarana catesbeiana,Colobus guereza,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Langurs (Semnopithecus spp. / Trachypithecus spp.),8400,88028,Lithobates catesbeianus,Semnopithecus,Aquarana catesbeiana,Semnopithecus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Chimpanzee (Pan troglodytes),8400,9598,Lithobates catesbeianus,Pan troglodytes,Aquarana catesbeiana,Pan troglodytes,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Bonobo (Pan paniscus),8400,9597,Lithobates catesbeianus,Pan paniscus,Aquarana catesbeiana,Pan paniscus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Western Gorilla (Gorilla gorilla),8400,9593,Lithobates catesbeianus,Gorilla gorilla,Aquarana catesbeiana,Gorilla gorilla,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Eastern Gorilla (Gorilla beringei),8400,499232,Lithobates catesbeianus,Gorilla beringei,Aquarana catesbeiana,Gorilla beringei,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Bornean Orangutan (Pongo pygmaeus),8400,9600,Lithobates catesbeianus,Pongo pygmaeus,Aquarana catesbeiana,Pongo pygmaeus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Siamang (Symphalangus syndactylus),8400,9590,Lithobates catesbeianus,Symphalangus syndactylus,Aquarana catesbeiana,Symphalangus syndactylus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",8400,9578,Lithobates catesbeianus,Hylobates,Aquarana catesbeiana,Hylobates,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Brown lemurs (Eulemur spp.),8400,13513,Lithobates catesbeianus,Eulemur,Aquarana catesbeiana,Eulemur,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Indri (Indri indri),8400,34827,Lithobates catesbeianus,Indri indri,Aquarana catesbeiana,Indri indri,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Rhesus macaque (Macaca mulatta),8400,9544,Lithobates catesbeianus,Macaca mulatta,Aquarana catesbeiana,Macaca mulatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Japanese macaque (Macaca fuscata),8400,9542,Lithobates catesbeianus,Macaca fuscata,Aquarana catesbeiana,Macaca fuscata,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Vervet monkey (Chlorocebus pygerythrus),8400,60710,Lithobates catesbeianus,Chlorocebus pygerythrus,Aquarana catesbeiana,Chlorocebus pygerythrus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Campbell's monkey (Cercopithecus campbelli),8400,303588,Lithobates catesbeianus,Cercopithecus campbelli,Aquarana catesbeiana,Cercopithecus campbelli,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Olive baboon (Papio anubis),8400,9555,Lithobates catesbeianus,Papio anubis,Aquarana catesbeiana,Papio anubis,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Yellow baboon (Papio cynocephalus),8400,9556,Lithobates catesbeianus,Papio cynocephalus,Aquarana catesbeiana,Papio cynocephalus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Ring-tailed lemur (Lemur catta),8400,9447,Lithobates catesbeianus,Lemur catta,Aquarana catesbeiana,Lemur catta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Mouse lemurs (Microcebus spp.),8400,13149,Lithobates catesbeianus,Microcebus,Aquarana catesbeiana,Microcebus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Tufted capuchin (Sapajus apella),8400,9515,Lithobates catesbeianus,Sapajus apella,Aquarana catesbeiana,Sapajus apella,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Common marmoset (Callithrix jacchus),8400,9483,Lithobates catesbeianus,Callithrix jacchus,Aquarana catesbeiana,Callithrix jacchus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Howler monkey (Alouatta spp.),8400,9499,Lithobates catesbeianus,Alouatta,Aquarana catesbeiana,Alouatta,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Diana monkey (Cercopithecus diana),8400,36224,Lithobates catesbeianus,Cercopithecus diana,Aquarana catesbeiana,Cercopithecus diana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Putty-nosed monkey (Cercopithecus nictitans),8400,36228,Lithobates catesbeianus,Cercopithecus nictitans,Aquarana catesbeiana,Cercopithecus nictitans,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
American bullfrog (Lithobates catesbeianus),Red-tailed monkey (Cercopithecus ascanius),8400,36223,Lithobates catesbeianus,Cercopithecus ascanius,Aquarana catesbeiana,Cercopithecus ascanius,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
